second,avg_latency_ms_consul,throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd,throughput_etcd,avg_cpu_etcd,avg_memory_mb_etcd,avg_latency_ms_etcd2,throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,avg_cpu_zk,avg_memory_mb_zk
0,161.951205,3315,3.92,41.55,51.607760,7761,3.52,61.41,78.562117,12005,5.39,59.67,153.420022,24,0.76,72.76
1,241.083531,4864,7.91,57.02,59.771225,16669,12.04,119.94,66.629596,14418,17.82,137.62,27.810892,8906,2.99,140.85
2,217.786737,4416,11.57,64.85,59.135160,16873,19.63,129.25,66.930366,14691,30.93,256.95,128.664013,7731,5.39,172.04
3,210.008610,4928,15.07,68.49,63.949731,15587,27.35,138.25,73.337751,13319,44.05,386.35,46.632111,25019,8.74,230.73
4,219.642307,4638,18.24,78.53,62.162976,15971,34.40,143.99,73.581966,13640,57.75,483.51,32.694981,29747,11.84,334.89
5,212.334818,4705,21.20,90.39,65.237682,15122,41.22,153.36,73.573208,13026,71.61,597.24,31.140762,32375,15.37,449.45
6,214.138915,4544,23.99,100.11,64.236221,15724,47.66,159.50,77.662955,13035,85.69,758.21,30.588439,32482,18.61,548.52
7,214.315423,4672,26.84,99.98,63.139760,15607,53.92,166.25,83.013804,10930,99.49,919.82,32.860556,30134,22.32,698.96
8,214.312905,4660,29.49,111.10,68.706126,14718,59.42,173.01,89.767963,11468,112.57,1127.15,32.284399,31083,25.24,784.80
9,225.355544,4428,31.71,122.07,64.711236,15305,64.80,179.80,98.193949,5989,123.63,1221.37,32.896267,30700,28.46,836.90
10,213.220309,4671,34.03,133.21,66.694448,14533,69.81,191.28,315.065191,1853,129.58,1309.78,32.889248,30295,32.24,958.91
11,215.923164,4736,36.17,143.49,68.176423,14722,74.46,195.22,262.650417,1735,132.46,1454.78,41.155452,14296,35.46,1175.69
12,226.369837,4416,38.04,154.04,70.238133,14155,79.29,205.79,315.634366,1853,131.55,1511.66,50.612190,27829,38.64,1200.93
13,217.008396,4416,39.93,164.30,65.320585,15139,83.69,211.26,368.586777,1564,128.88,1511.66,30.704921,32059,41.96,1223.20
14,214.663974,4608,41.63,146.89,67.603705,14828,88.51,219.38,282.886973,1570,126.34,1511.66,34.822040,28923,44.51,1287.91
15,215.409600,4925,43.30,159.43,69.863344,14328,92.22,225.90,430.123509,1540,124.28,1513.05,29.408861,29438,47.64,1402.98
16,214.177762,4546,45.12,171.24,66.895138,14305,96.23,231.79,271.270735,1722,125.78,1514.17,44.049797,17548,51.22,1484.86
17,211.790271,4800,46.61,180.33,71.928315,14735,99.83,239.25,293.401185,1849,126.91,1568.01,68.626016,19881,53.51,1549.34
18,239.216385,4014,47.82,188.93,73.971245,13308,103.15,245.48,349.672723,1525,127.10,1683.71,27.376065,27083,56.54,1674.54
19,218.958087,4775,49.25,204.40,72.071370,13856,106.15,251.21,304.688025,1432,124.82,1683.71,46.534307,27098,59.39,1714.26
20,214.145686,4651,50.61,213.73,71.567116,14047,109.51,260.08,356.797534,1104,122.65,1683.71,31.010814,32198,62.00,1727.47
21,217.507305,4605,51.88,224.34,69.755426,14068,112.51,267.21,335.833502,1770,120.78,1683.71,30.926715,31574,64.35,1727.47
22,213.618708,4675,53.17,236.64,73.384373,13583,115.14,273.63,320.632221,1627,120.70,1686.61,34.172627,29758,67.12,1784.13
23,212.314928,4544,54.41,247.89,69.096859,14697,118.02,280.19,358.474405,1110,121.87,1756.28,30.350509,32880,69.73,1837.13
24,226.116217,4480,55.57,259.57,68.872713,14550,120.74,287.18,552.360974,571,121.75,1872.57,33.299667,21757,71.96,1837.13
25,212.859099,4863,56.69,272.08,72.556879,13224,123.40,295.23,300.339139,12,119.25,1872.57,67.096777,17555,73.95,1879.68
26,228.967531,4224,57.74,280.66,74.339357,13872,125.79,302.64,2644.889237,2,116.76,1872.57,46.180396,15925,77.07,1954.53
27,218.304089,4688,58.62,293.28,70.090623,14139,128.40,308.89,586.150738,4,114.35,1872.57,49.017693,27763,80.00,1965.10
28,206.632733,4833,59.73,248.76,73.533116,13902,130.71,317.38,3191.668760,2,112.05,1872.57,31.873806,31421,81.99,1965.37
29,226.735647,4393,60.55,262.07,68.040899,13647,132.95,324.46,103.901260,4809,109.83,1872.57,29.948901,33261,84.38,1965.37
30,213.097550,4707,61.66,273.58,69.435555,14778,135.35,329.16,82.639659,10356,107.70,1872.57,36.773815,27257,86.56,1978.85
31,220.862181,4354,62.40,284.69,74.232615,13632,137.56,335.00,82.470013,11691,105.66,1872.57,34.664207,28817,88.47,1980.00
32,209.698427,4930,63.37,293.74,71.665120,14074,139.68,342.16,111.802184,8911,103.68,1872.57,35.746089,27851,90.31,1995.50
33,227.031553,4350,64.24,303.55,76.094146,13091,141.63,346.36,118.037484,8592,101.80,1872.57,27.879804,31448,92.37,2047.29
34,211.963192,4608,65.11,314.73,66.716954,14887,143.65,353.46,121.719435,7843,99.96,1872.57,37.745591,21547,95.43,2095.60
