unix_ts,avg_latency_ms,throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458767325,161.951205,3315,5.60,51.04,3.03,35.86,3.12,37.74,3.92,41.55
1458767326,241.083531,4864,10.68,72.35,6.33,48.52,6.71,50.20,7.91,57.02
1458767327,217.786737,4416,15.43,81.95,9.42,55.43,9.87,57.17,11.57,64.85
1458767328,210.008610,4928,19.81,84.65,12.36,58.74,13.05,62.08,15.07,68.49
1458767329,219.642307,4638,23.98,95.95,15.14,69.94,15.61,69.71,18.24,78.53
1458767330,212.334818,4705,27.94,109.57,17.59,80.88,18.07,80.71,21.20,90.39
1458767331,214.138915,4544,31.43,119.37,20.12,90.54,20.43,90.41,23.99,100.11
1458767332,214.315423,4672,35.56,121.85,22.26,86.92,22.69,91.16,26.84,99.98
1458767333,214.312905,4660,38.94,134.57,24.58,99.22,24.95,99.50,29.49,111.10
1458767334,225.355544,4428,42.19,146.82,26.09,109.71,26.85,109.69,31.71,122.07
1458767335,213.220309,4671,45.40,160.63,27.88,119.54,28.82,119.45,34.03,133.21
1458767336,215.923164,4736,48.33,173.09,29.57,125.97,30.62,131.40,36.17,143.49
1458767337,226.369837,4416,50.66,187.36,31.42,138.13,32.04,136.64,38.04,154.04
1458767338,217.008396,4416,53.45,195.36,32.64,149.11,33.71,148.42,39.93,164.30
1458767339,214.663974,4608,55.57,176.56,34.28,132.56,35.03,131.54,41.63,146.89
1458767340,215.409600,4925,57.65,193.33,35.47,138.80,36.77,146.15,43.30,159.43
1458767341,214.177762,4546,60.25,205.63,37.11,154.27,38.00,153.81,45.12,171.24
1458767342,211.790271,4800,62.20,214.90,38.37,163.72,39.26,162.36,46.61,180.33
1458767343,239.216385,4014,63.85,220.70,39.34,172.62,40.27,173.46,47.82,188.93
1458767344,218.958087,4775,65.68,238.76,40.45,182.74,41.61,191.71,49.25,204.40
1458767345,214.145686,4651,67.42,250.62,41.51,191.30,42.91,199.28,50.61,213.73
