unix_ts,avg_latency_ms,throughput
1458767325,161.951205,3315
1458767326,241.083531,4864
1458767327,217.786737,4416
1458767328,210.008610,4928
1458767329,219.642307,4638
1458767330,212.334818,4705
1458767331,214.138915,4544
1458767332,214.315423,4672
1458767333,214.312905,4660
1458767334,225.355544,4428
1458767335,213.220309,4671
1458767336,215.923164,4736
1458767337,226.369837,4416
1458767338,217.008396,4416
1458767339,214.663974,4608
1458767340,215.409600,4925
1458767341,214.177762,4546
1458767342,211.790271,4800
1458767343,239.216385,4014
1458767344,218.958087,4775
1458767345,214.145686,4651
1458767346,217.507305,4605
1458767347,213.618708,4675
1458767348,212.314928,4544
1458767349,226.116217,4480
1458767350,212.859099,4863
1458767351,228.967531,4224
1458767352,218.304089,4688
1458767353,206.632733,4833
1458767354,226.735647,4393
1458767355,213.097550,4707
1458767356,220.862181,4354
1458767357,209.698427,4930
1458767358,227.031553,4350
1458767359,211.963192,4608
1458767360,228.111670,4544
1458767361,224.855531,4352
1458767362,224.018776,4386
1458767363,226.334584,4509
1458767364,221.591005,4608
1458767365,216.453912,4672
1458767366,225.887094,4416
1458767367,214.912286,4482
1458767368,232.897744,4147
1458767369,240.316507,4363
1458767370,212.996517,4513
1458767371,230.982982,4510
1458767372,210.972790,4583
1458767373,229.159952,4548
1458767374,205.671945,4827
1458767375,214.228792,4729
1458767376,211.079690,4736
1458767377,236.599037,4096
1458767378,212.881996,4800
1458767379,234.439492,4224
1458767380,214.614202,4736
1458767381,232.492159,4096
1458767382,214.889407,4672
1458767383,214.542889,4840
1458767384,241.403237,4196
1458767385,222.022903,4257
1458767386,276.320819,3763
1458767387,238.007065,4138
1458767388,280.440321,3378
1458767389,350.667044,2701
1458767390,365.753220,2979
1458767391,312.322102,3101
1458767392,339.907011,2848
1458767393,415.625348,2453
1458767394,314.342092,3288
1458767395,291.148500,3500
1458767396,287.698919,3306
1458767397,357.542946,2873
1458767398,279.716425,3610
1458767399,299.318624,3278
1458767400,352.331118,2751
1458767401,327.919345,3185
1458767402,261.642071,3789
1458767403,285.495500,3475
1458767404,291.749822,3185
1458767405,227.499303,4825
1458767406,217.772634,4366
1458767407,258.298962,4067
1458767408,234.252058,4341
1458767409,209.808054,4517
1458767410,258.593217,3941
1458767411,241.497038,4303
1458767412,212.414334,4672
1458767413,237.373667,4200
1458767414,229.618403,4250
1458767415,211.516787,4910
1458767416,228.083179,4298
1458767417,266.232200,3308
1458767418,243.389014,4571
1458767419,211.461485,4800
1458767420,249.971302,3946
1458767421,265.111437,3598
1458767422,216.874601,4811
1458767423,224.951410,4607
1458767424,258.352826,3698
1458767425,240.318280,4269
1458767426,217.442312,4608
1458767427,207.675238,4722
1458767428,273.001989,3528
1458767429,231.025492,4584
1458767430,215.661052,4544
1458767431,231.045848,4288
1458767432,272.343119,3410
1458767433,226.341306,4903
1458767434,215.738500,4416
1458767435,216.720517,4736
1458767436,249.656212,3385
1458767437,223.560588,5142
1458767438,210.892384,4609
1458767439,258.379099,4006
1458767440,233.082645,4303
1458767441,250.647188,3850
1458767442,238.031441,4264
1458767443,279.323345,3441
1458767444,290.756065,3436
1458767445,300.600203,3340
1458767446,226.110525,4160
1458767447,274.882634,3876
1458767448,287.008166,3513
1458767449,334.678100,2776
1458767450,411.769607,2475
1458767451,381.496232,2694
1458767452,360.541007,1380
1458767453,1032.535551,1195
1458767454,718.351628,1492
1458767455,972.799653,789
1458767456,1165.089447,659
1458767457,1453.936571,753
1458767458,1707.986162,429
1458767459,1861.255587,572
