unix_ts,avg_latency_ms,throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458767673,51.607760,7761,4.03,56.50,3.15,58.69,3.39,69.04,3.52,61.41
1458767674,59.771225,16669,14.65,116.54,10.61,114.36,10.86,128.93,12.04,119.94
1458767675,59.135160,16873,24.12,124.50,17.18,126.66,17.59,136.59,19.63,129.25
1458767676,63.949731,15587,34.59,134.90,23.43,133.84,24.02,146.01,27.35,138.25
1458767677,62.162976,15971,44.45,138.60,28.94,141.56,29.80,151.80,34.40,143.99
1458767678,65.237682,15122,53.91,148.10,34.28,150.00,35.46,161.97,41.22,153.36
1458767679,64.236221,15724,62.69,155.84,39.66,155.96,40.63,166.70,47.66,159.50
1458767680,63.139760,15607,71.86,162.60,44.23,163.01,45.68,173.15,53.92,166.25
1458767681,68.706126,14718,79.70,167.19,48.83,171.06,49.74,180.78,59.42,173.01
1458767682,64.711236,15305,86.72,177.25,53.51,175.68,54.18,186.47,64.80,179.80
1458767683,66.694448,14533,93.55,182.36,57.71,184.20,58.17,207.29,69.81,191.28
1458767684,68.176423,14722,99.97,189.46,61.47,186.55,61.94,209.66,74.46,195.22
1458767685,70.238133,14155,106.19,199.76,65.42,195.96,66.26,221.65,79.29,205.79
1458767686,65.320585,15139,111.70,203.46,69.28,203.42,70.09,226.91,83.69,211.26
1458767687,67.603705,14828,118.40,213.04,73.42,211.47,73.72,233.64,88.51,219.38
1458767688,69.863344,14328,123.24,219.32,76.55,217.44,76.88,240.94,92.22,225.90
1458767689,66.895138,14305,128.31,227.13,80.00,223.89,80.38,244.36,96.23,231.79
1458767690,71.928315,14735,132.68,230.80,83.29,230.22,83.52,256.74,99.83,239.25
1458767691,73.971245,13308,137.07,237.51,85.99,237.66,86.40,261.28,103.15,245.48
1458767692,72.071370,13856,140.92,246.50,88.61,243.97,88.91,263.17,106.15,251.21
1458767693,71.567116,14047,145.03,251.11,91.59,250.60,91.91,278.54,109.51,260.08
1458767694,69.755426,14068,149.28,257.12,93.89,259.32,94.36,285.19,112.51,267.21
1458767695,73.384373,13583,152.74,263.25,96.03,265.45,96.65,292.18,115.14,273.63
1458767696,69.096859,14697,156.42,268.30,98.49,271.82,99.15,300.45,118.02,280.19
1458767697,68.872713,14550,160.36,275.66,100.68,283.20,101.18,302.67,120.74,287.18
1458767698,72.556879,13224,163.98,285.25,102.84,284.57,103.39,315.88,123.40,295.23
1458767699,74.339357,13872,167.07,293.60,104.80,290.94,105.50,323.38,125.79,302.64
1458767700,70.090623,14139,170.45,302.63,106.97,297.12,107.79,326.92,128.40,308.89
1458767701,73.533116,13902,173.29,306.76,109.14,314.46,109.71,330.93,130.71,317.38
1458767702,68.040899,13647,175.94,310.39,111.06,316.86,111.86,346.13,132.95,324.46
1458767703,69.435555,14778,178.90,320.47,113.24,319.21,113.91,347.81,135.35,329.16
1458767704,74.232615,13632,181.67,328.21,115.19,320.44,115.82,356.36,137.56,335.00
1458767705,71.665120,14074,184.57,332.70,116.94,332.23,117.52,361.55,139.68,342.16
1458767706,76.094146,13091,187.35,341.00,118.53,335.04,119.01,363.04,141.63,346.36
1458767707,66.716954,14887,189.67,343.11,120.51,342.72,120.78,374.55,143.65,353.46
1458767708,77.852097,12847,192.46,353.63,121.70,347.59,121.76,379.21,145.31,360.14
1458767709,73.904218,13218,194.24,368.46,123.84,351.36,123.66,383.08,147.25,367.63
