unix_ts,avg_latency_ms,throughput
1458767673,51.607760,7761
1458767674,59.771225,16669
1458767675,59.135160,16873
1458767676,63.949731,15587
1458767677,62.162976,15971
1458767678,65.237682,15122
1458767679,64.236221,15724
1458767680,63.139760,15607
1458767681,68.706126,14718
1458767682,64.711236,15305
1458767683,66.694448,14533
1458767684,68.176423,14722
1458767685,70.238133,14155
1458767686,65.320585,15139
1458767687,67.603705,14828
1458767688,69.863344,14328
1458767689,66.895138,14305
1458767690,71.928315,14735
1458767691,73.971245,13308
1458767692,72.071370,13856
1458767693,71.567116,14047
1458767694,69.755426,14068
1458767695,73.384373,13583
1458767696,69.096859,14697
1458767697,68.872713,14550
1458767698,72.556879,13224
1458767699,74.339357,13872
1458767700,70.090623,14139
1458767701,73.533116,13902
1458767702,68.040899,13647
1458767703,69.435555,14778
1458767704,74.232615,13632
1458767705,71.665120,14074
1458767706,76.094146,13091
1458767707,66.716954,14887
1458767708,77.852097,12847
1458767709,73.904218,13218
1458767710,73.787716,13616
1458767711,76.428632,12838
1458767712,78.030122,13216
1458767713,66.469483,14538
1458767714,76.515599,13410
1458767715,67.106930,13983
1458767716,74.690218,14245
1458767717,71.756869,13887
1458767718,68.775769,14604
1458767719,79.487696,12332
1458767720,71.031510,13770
1458767721,75.426483,12996
1458767722,71.088180,14525
1458767723,68.124925,14410
1458767724,77.249869,12460
1458767725,72.815901,14479
1458767726,73.780797,13495
1458767727,77.041360,13038
1458767728,67.311927,14510
1458767729,76.788322,12772
1458767730,77.228298,12657
1458767731,67.840943,15757
1458767732,66.033414,14998
1458767733,70.737625,12808
1458767734,86.659856,12531
1458767735,68.473252,14416
1458767736,75.369033,13242
1458767737,68.909344,14277
1458767738,70.733765,13676
1458767739,77.534754,12909
1458767740,74.767954,12659
1458767741,77.905368,13233
1458767742,73.172857,14306
1458767743,71.409403,13780
1458767744,79.603790,6125
