unix_ts,avg_latency_ms,throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458768570,78.562117,12005,6.85,61.12,4.28,54.75,5.04,63.14,5.39,59.67
1458768571,66.629596,14418,22.21,126.78,15.61,142.04,15.63,144.05,17.82,137.62
1458768572,66.930366,14691,38.90,270.55,26.87,254.80,27.03,245.51,30.93,256.95
1458768573,73.337751,13319,54.37,399.96,39.52,365.18,38.25,393.90,44.05,386.35
1458768574,73.581966,13640,70.50,501.93,52.08,477.70,50.67,470.90,57.75,483.51
1458768575,73.573208,13026,85.93,605.42,64.67,651.60,64.22,534.71,71.61,597.24
1458768576,77.662955,13035,101.35,738.67,77.88,822.85,77.83,713.11,85.69,758.21
1458768577,83.013804,10930,116.74,832.00,90.78,1053.88,90.95,873.58,99.49,919.82
1458768578,89.767963,11468,131.07,1138.72,103.37,1208.04,103.28,1034.70,112.57,1127.15
1458768579,98.193949,5989,144.52,1254.26,112.99,1209.06,113.38,1200.80,123.63,1221.37
1458768580,315.065191,1853,150.00,1398.50,119.20,1330.05,119.55,1200.80,129.58,1309.78
1458768581,262.650417,1735,151.30,1700.02,122.72,1330.05,123.36,1334.26,132.46,1454.78
1458768582,315.634366,1853,147.65,1700.02,123.11,1354.91,123.88,1480.06,131.55,1511.66
1458768583,368.586777,1564,144.39,1700.02,120.79,1354.91,121.46,1480.06,128.88,1511.66
1458768584,282.886973,1570,141.10,1700.02,118.66,1354.91,119.27,1480.06,126.34,1511.66
1458768585,430.123509,1540,139.21,1704.18,116.59,1354.91,117.04,1480.06,124.28,1513.05
1458768586,271.270735,1722,140.96,1707.55,118.27,1354.91,118.12,1480.06,125.78,1514.17
1458768587,293.401185,1849,140.81,1869.07,120.13,1354.91,119.78,1480.06,126.91,1568.01
1458768588,349.672723,1525,137.94,1869.07,121.17,1675.39,122.20,1506.68,127.10,1683.71
1458768589,304.688025,1432,135.14,1869.07,119.22,1675.39,120.10,1506.68,124.82,1683.71
1458768590,356.797534,1104,132.55,1869.07,117.24,1675.39,118.15,1506.68,122.65,1683.71
1458768591,335.833502,1770,130.33,1869.07,115.62,1675.39,116.40,1506.68,120.78,1683.71
1458768592,320.632221,1627,131.14,1869.07,115.12,1675.39,115.84,1515.36,120.70,1686.61
1458768593,358.474405,1110,131.95,2042.84,116.52,1675.39,117.14,1550.62,121.87,1756.28
1458768594,552.360974,571,129.74,2042.84,117.53,1855.82,117.98,1719.05,121.75,1872.57
1458768595,300.339139,12,127.11,2042.84,115.13,1855.82,115.50,1719.05,119.25,1872.57
1458768597,2644.889237,2,124.51,2042.84,112.73,1855.82,113.03,1719.05,116.76,1872.57
1458768598,586.150738,4,122.00,2042.84,110.41,1855.82,110.65,1719.05,114.35,1872.57
1458768599,3191.668760,2,119.58,2042.84,108.16,1855.82,108.40,1719.05,112.05,1872.57
1458768630,103.901260,4809,117.26,2042.84,106.02,1855.82,106.21,1719.05,109.83,1872.57
1458768631,82.639659,10356,115.05,2042.84,103.97,1855.82,104.09,1719.05,107.70,1872.57
1458768632,82.470013,11691,112.91,2042.84,102.01,1855.82,102.07,1719.05,105.66,1872.57
1458768633,111.802184,8911,110.84,2042.84,100.08,1855.82,100.13,1719.05,103.68,1872.57
1458768634,118.037484,8592,108.85,2042.84,98.25,1855.82,98.29,1719.05,101.80,1872.57
1458768635,121.719435,7843,106.93,2042.84,96.48,1855.82,96.47,1719.05,99.96,1872.57
1458768636,120.791396,6941,105.06,2042.84,94.78,1855.82,94.76,1719.45,98.20,1872.70
1458768637,125.513075,8307,103.28,2042.84,93.12,1855.82,93.09,1719.45,96.50,1872.70
1458768638,136.513864,7578,101.55,2042.84,91.54,1855.82,91.48,1719.45,94.86,1872.70
1458768639,170.133101,4788,99.88,2042.84,89.99,1855.82,89.91,1719.45,93.26,1872.70
1458768640,121.384931,9548,98.38,2042.84,88.52,1855.82,88.42,1719.45,91.77,1872.70
1458768641,133.715415,8059,96.82,2042.84,87.17,1855.82,86.98,1719.45,90.32,1872.70
1458768642,117.637015,6703,95.28,2042.84,85.76,1855.82,85.64,1719.45,88.89,1872.70
1458768643,233.802501,4305,93.82,2042.84,84.42,1855.82,84.28,1719.45,87.51,1872.70
1458768644,507.692527,1430,92.41,2042.84,83.12,1855.82,82.96,1719.45,86.16,1872.70
1458768645,471.854064,2184,91.03,2042.84,81.85,1855.82,81.69,1719.45,84.86,1872.70
1458768646,522.696786,1995,89.67,2042.84,80.64,1855.82,80.45,1719.45,83.59,1872.70
1458768647,627.424363,1649,88.39,2042.84,79.44,1855.82,79.27,1719.45,82.37,1872.70
1458768648,393.301820,2873,87.11,2042.84,78.29,1855.82,78.10,1719.45,81.17,1872.70
1458768649,511.112081,1710,85.90,2044.23,77.18,1855.82,76.96,1719.45,80.01,1873.17
1458768650,594.584970,1615,84.69,2044.23,76.08,1855.82,75.86,1719.45,78.88,1873.17
1458768651,130.934238,6940,83.55,2044.23,75.01,1855.82,74.79,1719.45,77.78,1873.17
1458768652,391.405307,1148,82.42,2044.23,73.99,1855.82,73.75,1719.45,76.72,1873.17
1458768653,526.081393,813,81.33,2044.23,72.99,1855.82,72.75,1719.45,75.69,1873.17
1458768654,416.264815,1266,80.26,2044.23,72.02,1855.82,71.77,1719.45,74.68,1873.17
1458768655,518.449199,1027,79.22,2044.23,71.06,1855.82,70.81,1719.45,73.70,1873.17
1458768656,448.904089,1016,78.21,2044.23,70.14,1855.82,69.89,1719.45,72.75,1873.17
1458768657,384.882127,1259,77.21,2044.23,69.24,1855.82,68.99,1719.45,71.81,1873.17
1458768658,327.059846,1312,76.26,2044.23,68.36,1855.82,68.11,1719.45,70.91,1873.17
1458768659,301.580261,1104,75.32,2049.44,67.51,1855.82,67.24,1719.45,70.02,1874.90
1458768660,432.707648,1128,74.40,2049.44,66.67,1855.82,66.41,1719.45,69.16,1874.90
1458768661,495.720797,1037,74.17,2049.44,66.32,1855.82,66.03,1719.45,68.84,1874.90
1458768662,512.967218,584,76.55,2052.21,68.34,1855.82,67.66,1719.45,70.85,1875.83
1458768663,697.907306,812,81.06,2052.32,71.57,1856.72,71.02,1719.97,74.55,1876.34
