unix_ts,avg_latency_ms,throughput
1458768570,78.562117,12005
1458768571,66.629596,14418
1458768572,66.930366,14691
1458768573,73.337751,13319
1458768574,73.581966,13640
1458768575,73.573208,13026
1458768576,77.662955,13035
1458768577,83.013804,10930
1458768578,89.767963,11468
1458768579,98.193949,5989
1458768580,315.065191,1853
1458768581,262.650417,1735
1458768582,315.634366,1853
1458768583,368.586777,1564
1458768584,282.886973,1570
1458768585,430.123509,1540
1458768586,271.270735,1722
1458768587,293.401185,1849
1458768588,349.672723,1525
1458768589,304.688025,1432
1458768590,356.797534,1104
1458768591,335.833502,1770
1458768592,320.632221,1627
1458768593,358.474405,1110
1458768594,552.360974,571
1458768595,300.339139,12
1458768597,2644.889237,2
1458768598,586.150738,4
1458768599,3191.668760,2
1458768630,103.901260,4809
1458768631,82.639659,10356
1458768632,82.470013,11691
1458768633,111.802184,8911
1458768634,118.037484,8592
1458768635,121.719435,7843
1458768636,120.791396,6941
1458768637,125.513075,8307
1458768638,136.513864,7578
1458768639,170.133101,4788
1458768640,121.384931,9548
1458768641,133.715415,8059
1458768642,117.637015,6703
1458768643,233.802501,4305
1458768644,507.692527,1430
1458768645,471.854064,2184
1458768646,522.696786,1995
1458768647,627.424363,1649
1458768648,393.301820,2873
1458768649,511.112081,1710
1458768650,594.584970,1615
1458768651,130.934238,6940
1458768652,391.405307,1148
1458768653,526.081393,813
1458768654,416.264815,1266
1458768655,518.449199,1027
1458768656,448.904089,1016
1458768657,384.882127,1259
1458768658,327.059846,1312
1458768659,301.580261,1104
1458768660,432.707648,1128
1458768661,495.720797,1037
1458768662,512.967218,584
1458768663,697.907306,812
1458768664,698.094897,930
1458768665,373.568927,1043
1458768666,386.087797,944
1458768667,453.451012,1331
1458768668,473.770925,1277
1458768669,324.180776,873
1458768670,571.896791,893
1458768671,484.510051,654
1458768672,457.330050,828
1458768673,482.554559,843
1458768674,512.588158,1097
1458768675,379.962812,479
1458768676,353.058548,127
1458768677,576.978708,188
1458768678,891.506210,155
1458768679,594.745339,132
1458768680,924.545951,74
1458768681,526.104946,29
1458768682,387.570056,15
1458768683,1098.670000,10
1458768684,518.917290,29
1458768685,701.656774,6
1458768686,420.619693,27
1458768687,1385.936287,12
1458768688,1697.852461,3
1458768690,152.395460,2885
1458768691,81.101163,10740
1458768692,86.650898,10612
1458768693,128.725659,6575
1458768694,200.068995,4895
1458768695,190.325012,5385
1458768696,114.177420,3433
1458768697,146.471672,9725
1458768698,388.328381,1878
1458768699,110.811521,8073
1458768700,306.909805,2682
1458768701,399.392565,2837
1458768702,194.833209,3719
1458768703,566.891018,951
1458768704,158.640794,5563
1458768705,446.866947,1622
1458768706,676.476231,860
1458768707,750.311391,743
1458768708,711.922448,903
1458768709,108.774133,8618
1458768710,145.484107,6992
1458768711,248.947507,3788
1458768712,611.651556,1425
1458768713,136.193403,5853
1458768714,109.625215,7468
1458768715,367.142930,2177
1458768716,282.134586,2054
1458768717,125.657728,6651
1458768718,519.850250,883
1458768719,862.702812,256
1458768720,462.009122,1105
1458768721,895.096574,434
1458768722,444.347368,1091
1458768723,407.850396,701
