unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1458767560,java,R (running),20565,20182,0.00 %,3.6 MB,30 MB,64,1,0.00,3616000,30104000
1458767561,java,S (sleeping),20565,20182,48.00 %,54 MB,7.7 GB,64,32,48.00,53736000,7722844000
1458767562,java,S (sleeping),20565,20182,24.00 %,54 MB,7.7 GB,64,32,24.00,53736000,7722844000
1458767563,java,S (sleeping),20565,20182,15.95 %,54 MB,7.7 GB,64,32,15.95,53736000,7722844000
1458767564,java,S (sleeping),20565,20182,11.97 %,54 MB,7.7 GB,64,32,11.97,53736000,7722844000
1458767565,java,S (sleeping),20565,20182,9.78 %,54 MB,7.7 GB,64,32,9.78,53736000,7722844000
1458767566,java,S (sleeping),20565,20182,8.15 %,54 MB,7.7 GB,64,32,8.15,53736000,7722844000
1458767567,java,S (sleeping),20565,20182,6.99 %,54 MB,7.7 GB,64,32,6.99,53736000,7722844000
1458767568,java,S (sleeping),20565,20182,6.11 %,54 MB,7.7 GB,64,32,6.11,53736000,7722844000
1458767569,java,S (sleeping),20565,20182,5.43 %,54 MB,7.7 GB,64,32,5.43,53736000,7722844000
1458767570,java,S (sleeping),20565,20182,4.89 %,54 MB,7.7 GB,64,32,4.89,53736000,7722844000
1458767571,java,S (sleeping),20565,20182,4.54 %,54 MB,7.7 GB,64,32,4.54,53736000,7722844000
1458767572,java,S (sleeping),20565,20182,4.16 %,54 MB,7.7 GB,64,32,4.16,53736000,7722844000
1458767573,java,S (sleeping),20565,20182,3.84 %,54 MB,7.7 GB,64,32,3.84,53736000,7722844000
1458767574,java,S (sleeping),20565,20182,3.56 %,54 MB,7.7 GB,64,32,3.56,53736000,7722844000
1458767575,java,S (sleeping),20565,20182,3.33 %,54 MB,7.7 GB,64,32,3.33,53736000,7722844000
1458767576,java,S (sleeping),20565,20182,3.12 %,54 MB,7.7 GB,64,32,3.12,53736000,7722844000
1458767577,java,S (sleeping),20565,20182,2.94 %,54 MB,7.7 GB,64,32,2.94,53736000,7722844000
1458767578,java,S (sleeping),20565,20182,2.77 %,54 MB,7.7 GB,64,32,2.77,53736000,7722844000
1458767579,java,S (sleeping),20565,20182,2.63 %,54 MB,7.7 GB,64,32,2.63,53736000,7722844000
1458767580,java,S (sleeping),20565,20182,2.54 %,54 MB,7.7 GB,64,32,2.54,53736000,7722844000
1458767581,java,S (sleeping),20565,20182,2.42 %,54 MB,7.7 GB,64,32,2.42,53736000,7722844000
1458767582,java,S (sleeping),20565,20182,2.31 %,54 MB,7.7 GB,64,32,2.31,53736000,7722844000
