unix_ts,avg_latency_ms,throughput
1458767639,153.420022,24
1458767640,27.810892,8906
1458767641,128.664013,7731
1458767642,46.632111,25019
1458767643,32.694981,29747
1458767644,31.140762,32375
1458767645,30.588439,32482
1458767646,32.860556,30134
1458767647,32.284399,31083
1458767648,32.896267,30700
1458767649,32.889248,30295
1458767650,41.155452,14296
1458767651,50.612190,27829
1458767652,30.704921,32059
1458767653,34.822040,28923
1458767654,29.408861,29438
1458767655,44.049797,17548
1458767656,68.626016,19881
1458767657,27.376065,27083
1458767658,46.534307,27098
1458767659,31.010814,32198
1458767660,30.926715,31574
1458767661,34.172627,29758
1458767662,30.350509,32880
1458767663,33.299667,21757
1458767664,67.096777,17555
1458767665,46.180396,15925
1458767666,49.017693,27763
1458767667,31.873806,31421
1458767668,29.948901,33261
1458767669,36.773815,27257
1458767670,34.664207,28817
1458767671,35.746089,27851
1458767672,27.879804,31448
1458767673,37.745591,21547
1458767674,49.864882,26235
1458767675,40.890055,22039
1458767676,47.233204,23368
1458767677,29.918537,5615
1458767679,97.587869,28661
